date,incidR,r,icuOccupR,posR
2020-03-18,,,15.2,
2020-03-19,5.57082271463596,,19.8,
2020-03-20,8.4039498982035,,25.6,
2020-03-21,11.0134091462262,,28.7,
2020-03-22,13.6005016006945,,33.1,
2020-03-23,18.2826170514324,,41.1,
2020-03-24,23.9190490271615,,49.5,
2020-03-25,30.0848284503467,,58,
2020-03-26,32.9373401883281,,66.3,
2020-03-27,36.9424873541504,,74.3,
2020-03-28,40.0320871038093,,83.7,
2020-03-29,41.7155610986766,,90.8,
2020-03-30,44.2325709333408,,100,
2020-03-31,47.1178873018688,,108.7,
2020-04-01,48.9355620580629,,117.4,
2020-04-02,50.0598662140681,,124.7,
2020-04-03,51.0261116956217,,129.6,
2020-04-04,49.9689079202799,,132.9,
2020-04-05,48.6835628506824,,135.6,
2020-04-06,47.5354007815524,,137.4,
2020-04-07,45.6983414709444,,138.5,
2020-04-08,44.3294937054102,,138.8,
2020-04-09,43.0694976685078,,137.1,
2020-04-10,42.7682915153075,,135.9,
2020-04-11,41.4546151738743,,133.5,
2020-04-12,41.0192082593471,,132.7,
2020-04-13,36.8545112995028,,132.3,
2020-04-14,34.8892157058491,,130.5,
2020-04-15,33.0939077432095,,125.2,
2020-04-16,30.9869557903774,,121.4,
2020-04-17,28.0524324760295,,117.1,
2020-04-18,27.2546835059197,,113.3,
2020-04-19,26.0066164255797,,111.6,
2020-04-20,26.9922464615472,,110.4,
2020-04-21,25.7904040878864,,105.5,
2020-04-22,23.6953810916167,,101.4,
2020-04-23,21.9492800747969,,98.2,
2020-04-24,19.9988956768462,,94.6,
2020-04-25,18.9759876516213,,91.8,
2020-04-26,18.3377884755335,,90.9,
2020-04-27,17.0420055689439,,89.5,
2020-04-28,15.6627199664176,,86.8,
2020-04-29,14.4877177450222,,81.6,
2020-04-30,13.4707741980785,,78,
2020-05-01,11.7634422900865,,75.5,
2020-05-02,10.9239419720083,,74.5,
2020-05-03,10.7181674713071,,74.4,
2020-05-04,10.3245119047482,,71.9,
2020-05-05,9.73999303319114,,66.7,
2020-05-06,9.15249192249345,,61.2,
2020-05-07,8.5277128225383,,57.6,
2020-05-08,8.30851824570439,,55.8,
2020-05-09,8.00432985336345,,54.6,
2020-05-10,7.87609357031776,,53.9,
2020-05-11,7.4913847211807,,52.7,
2020-05-12,6.86809674079584,,49.3,
2020-05-13,6.34918713033189,,47.2,
2020-05-14,6.04947209670185,,44.6,
2020-05-15,6.14490374920096,,42.7,
2020-05-16,6.25673771697337,,41.3,
2020-05-17,6.08675008595932,,40.5,
2020-05-18,5.79449065018077,,38.7,
2020-05-19,8.30216853923628,,36.7,2.1663400827346
2020-05-20,8.53907535864377,,34.7,2.11668156333794
2020-05-21,7.32325168168455,,33.8,2.06615044433795
2020-05-22,6.99694606250064,,32.9,1.95286671351994
2020-05-23,6.9596965625938,,32.2,1.92327487884315
2020-05-24,6.9596965625938,,32,1.91967056135261
2020-05-25,6.35327470411046,,31.1,1.75243199256943
2020-05-26,5.93906026514641,,30,1.63205476759802
2020-05-27,5.45034682636868,,29,1.54049592345529
2020-05-28,6.11636788470296,,27.6,1.50995170361542
2020-05-29,5.77367248556004,,26.3,1.43056499010603
2020-05-30,5.93012038516877,,25.6,1.46136023998619
2020-05-31,6.0016394249899,,25.4,1.47146390200956
2020-06-01,5.1955602470059,0.84,25.1,1.50122483069783
2020-06-02,5.14639090712888,0.83,24.1,1.52038031516859
2020-06-03,5.06742196732638,0.83,23.3,1.50805017670038
2020-06-04,5.04805222737482,0.84,22.4,1.52256661228929
2020-06-05,5.00037286749407,0.85,21.1,1.52718998862344
2020-06-06,4.88862436777355,0.86,20.4,1.4970114522973
2020-06-07,4.81412536795987,0.88,20.2,1.48073803173206
2020-06-08,5.39223760651401,0.89,19.7,1.43136828366326
2020-06-09,5.14192096714006,0.9,18.3,1.39432089986424
2020-06-10,4.97355322756114,0.9,17.9,1.37158541796785
2020-06-11,4.96610332757978,0.9,17.3,1.38525799546975
2020-06-12,5.04060232739345,0.89,16.8,1.41861518333389
2020-06-13,4.92140392769157,0.89,16.7,1.38792009479709
2020-06-14,4.91544400770647,0.88,16.6,1.39160732966625
2020-06-15,4.82157526794124,0.87,16.2,1.3750143407707
2020-06-16,4.81561534795615,0.86,15.7,1.37841030737015
2020-06-17,5.08530172728166,0.86,14.7,1.45817934794219
2020-06-18,5.01676264745308,0.86,14.3,1.44259401282782
2020-06-19,5.14341094713633,0.86,13.8,1.46971793507185
2020-06-20,5.34306826663699,0.87,13.6,1.51000282125457
2020-06-21,5.31177868671524,0.88,13.6,1.50233673413486
2020-06-22,5.46226666633887,0.89,13.3,1.51706386482986
2020-06-23,5.59338490601094,0.89,12.9,1.51966578687436
2020-06-24,5.48163640629043,0.9,12.5,1.45728364546693
2020-06-25,5.38031776654383,0.91,12.3,1.41937918374887
2020-06-26,5.20003018699472,0.92,12,1.34413261081391
2020-06-27,5.18215042703944,0.94,11.7,1.32440243860645
2020-06-28,5.33263840666307,0.96,11.7,1.35399957628401
2020-06-29,5.44289692638732,0.97,11.7,1.31741709793173
2020-06-30,5.54272558613764,0.99,11.3,1.2896202900259
2020-07-01,5.48610634627925,1.01,11,1.22732106012273
2020-07-02,5.60679472597741,1.03,10.8,1.19436430174283
2020-07-03,5.86009132534391,1.04,10.5,1.19811737468204
2020-07-04,5.88095104529174,1.06,10.2,1.1862292815604
2020-07-05,5.71556326570538,1.07,10.3,1.15189314659612
2020-07-06,5.72301316568674,1.08,10.3,1.13616867712222
2020-07-07,5.49057628626807,1.09,10.1,1.06881609402101
2020-07-08,5.59487488600722,1.1,9.9,1.06522405165273
2020-07-09,5.76622258557868,1.12,9.6,1.05629766304377
2020-07-10,5.92565044517995,1.13,9.3,1.04877585679476
2020-07-11,5.92565044517995,1.14,9.3,1.03887215629318
2020-07-12,5.94651016512778,1.16,9.4,1.04256464109758
2020-07-13,6.24301618438622,1.17,9.2,1.05897398310696
2020-07-14,5.6634139658358,1.19,9.2,1.10988796000783
2020-07-15,5.89287088526193,1.21,9,1.10681383139489
2020-07-16,6.29516548425579,1.23,9,1.13302672334035
2020-07-17,6.45459334385706,1.26,8.9,1.11063253753384
2020-07-18,6.5931614835105,1.3,8.9,1.1116889381298
2020-07-19,6.70490998323102,1.33,8.9,1.12081376060414
2020-07-20,6.93883684264597,1.36,8.7,1.1262149070516
2020-07-21,8.30514849922882,1.39,8.5,1.13912952846904
2020-07-22,8.77598217805127,1.41,8.3,1.18240564342741
2020-07-23,9.03672867739914,1.42,8.1,1.20811679192703
2020-07-24,9.50458239622904,1.42,7.6,1.26509727703627
2020-07-25,9.77575875555083,1.42,7.3,1.29351644841904
2020-07-26,9.88303731528252,1.41,7.3,1.30102446114285
2020-07-27,10.4730693938069,1.4,7.4,1.35323754719197
2020-07-28,10.8753639928007,1.39,7.1,1.3666798984399
2020-07-29,11.3268279316716,1.38,7,1.3753052917232
2020-07-30,11.9213299501848,1.37,7.1,1.40347984416304
2020-07-31,12.4592127288395,1.37,6.9,1.43211170539808
2020-08-01,12.7065494082209,1.36,6.8,1.44970650582993
2020-08-02,12.6856896882731,1.36,6.8,1.44379232046288
2020-08-03,13.5647778860745,1.36,7.1,1.52033853583918
2020-08-04,14.5243250036747,1.36,7.2,1.62185545055238
2020-08-05,15.2514352418562,1.36,7.1,1.70693881634899
2020-08-06,16.1647929795719,1.36,7.2,1.7958560732843
2020-08-07,17.1556296770938,1.36,7.1,1.89992475545523
2020-08-08,17.4729954163,1.36,7.2,1.92765103385019
2020-08-09,17.7575815955883,1.36,7.3,1.95695937314247
2020-08-10,18.9763852325401,1.37,7.4,2.08310162317058
2020-08-11,19.9910616100024,1.38,7.3,2.19765640099981
2020-08-12,21.378232986533,1.39,7,2.33389614910389
2020-08-13,23.4388753213794,1.41,6.9,2.51206850021638
2020-08-14,25.7945336954879,1.42,6.8,2.67377531761893
2020-08-15,25.441408436371,1.43,7,2.72971140995389
2020-08-16,25.8109234754469,1.45,7,2.7486223567735
2020-08-17,29.0665297673046,1.47,7.1,2.9279948608497
2020-08-18,32.1075789396989,1.48,7.1,3.06120274626068
2020-08-19,35.0264497523989,1.49,7.2,3.18749516953737
2020-08-20,37.3970079264701,1.49,7.3,3.25776150418529
2020-08-21,39.2669328217934,1.49,7.3,3.28037401790426
2020-08-22,41.4557134363193,1.49,7.3,3.29167716648152
2020-08-23,41.928037095138,1.48,7.3,3.32324393011976
2020-08-24,44.8483978878342,1.46,7.7,3.42974994730035
2020-08-25,47.9311665001241,1.45,7.9,3.53934494227619
2020-08-26,50.6548499333122,1.44,7.4,3.59774126571241
2020-08-27,54.0430644448383,1.43,7.4,3.67439683607394
2020-08-28,57.7486446955706,1.42,7.5,3.78223875979886
2020-08-29,58.9152990326528,1.4,7.8,3.80003882591957
2020-08-30,59.3786828114939,1.39,7.8,3.81476762674013
2020-08-31,63.1125726821555,1.37,8,3.94250154040324
2020-09-01,66.1789515144864,1.36,8.3,4.06904626231497
2020-09-02,69.7474536055616,1.36,8.7,4.23595224995656
2020-09-03,73.2623164167709,1.35,9.1,4.41491787911547
2020-09-04,76.9410770275704,1.33,9.2,4.56677579738829
2020-09-05,78.4787363837247,1.32,9.4,4.62229859113399
2020-09-06,78.7096832831471,1.31,9.5,4.63391249198456
2020-09-07,82.8503376927913,1.31,10.5,4.78799939035994
2020-09-08,87.0252616423498,1.3,11.2,4.8473113924723
2020-09-09,90.4015563139057,1.28,11.7,4.86671928591825
2020-09-10,93.8121205253759,1.27,12,4.86020784910985
2020-09-11,95.5911566409265,1.26,12.4,4.79003467317324
2020-09-12,96.2482378192832,1.25,12.9,4.78772210948235
2020-09-13,96.3868059589366,1.24,13.1,4.79299151872408
2020-09-14,100.06407658974,1.22,13.9,4.87229434873927
2020-09-15,102.85480912276,1.21,14.9,4.92282480331806
2020-09-16,106.012076734864,1.2,15.7,5.03693278756532
2020-09-17,108.521203048588,1.19,15.7,5.17899730789414
2020-09-18,111.507122961121,1.18,16.2,5.37854189035933
2020-09-19,112.573948638453,1.16,16.4,5.45719166332607
2020-09-20,112.925583917573,1.14,16.5,5.4717517836077
2020-09-21,114.293385554152,1.12,18,5.67851553767047
2020-09-22,115.322961731577,1.1,18.7,5.93499182969574
2020-09-23,114.655450693247,1.08,19.7,6.10906948847231
2020-09-24,113.143120997029,1.06,20.6,6.2266917256241
2020-09-25,111.650161040763,1.04,21.6,6.31957656964741
2020-09-26,111.042249202283,1.02,21.8,6.33379793309763
2020-09-27,110.420927543837,1.01,22,6.33208387411535
2020-09-28,107.566125870977,1,22.9,6.31382213935135
2020-09-29,105.432474516313,1,23.7,6.31914255198305
2020-09-30,105.915228035106,1.01,24.4,6.43750588644415
2020-10-01,108.762579807985,1.03,24.9,6.66838409804706
2020-10-02,114.591381553407,1.06,25.1,7.04268945977477
2020-10-03,118.200113104382,1.1,25.5,7.22969524642753
2020-10-04,119.086651202164,1.15,26.4,7.2730631402889
2020-10-05,130.569927033445,1.2,27.9,7.87923635281414
2020-10-06,140.797149727866,1.24,28,8.37714158057201
2020-10-07,151.805121940335,1.29,27.8,8.85851537876318
2020-10-08,163.575963910897,1.32,28,9.25721522957951
2020-10-09,175.308066401555,1.35,28.4,9.53524030575528
2020-10-10,181.399104626321,1.37,28.8,9.68027409394031
2020-10-11,183.251149761689,1.38,29.3,9.72847994330083
2020-10-12,198.553244323418,1.39,30.4,10.1251790307078
2020-10-13,211.86323563013,1.4,32.3,10.3796220933416
2020-10-14,223.90227400002,1.4,32.9,10.4891302451061
2020-10-15,238.039204204664,1.41,34.4,10.6446630766914
2020-10-16,252.25510334911,1.41,35.4,10.829061113794
2020-10-17,258.182243774286,1.42,36.9,10.8970497048699
2020-10-18,260.394864068752,1.43,38.3,10.9369269916129
2020-10-19,280.610912658192,1.44,41.3,11.4435155214665
2020-10-20,304.098957319449,1.45,42.9,12.1012612595519
2020-10-21,330.860488032518,1.46,44.3,12.804866445503
2020-10-22,359.335495741302,1.47,45.7,13.4886184468468
2020-10-23,391.758950440211,1.47,48.1,14.1898663471735
2020-10-24,406.462073043438,1.47,49.2,14.5185720550605
2020-10-25,410.364330653679,1.45,50.9,14.6058066640822
2020-10-26,445.331181206227,1.43,54.6,15.3205807062094
2020-10-27,470.912647762247,1.4,57.5,15.7179147217351
2020-10-28,486.095543924275,1.37,60,15.8781292753237
2020-10-29,493.631862745427,1.33,62.2,15.8837636111889
2020-10-30,498.404268673491,1.29,66.6,15.8276009239991
2020-10-31,500.096885949258,1.25,68.1,15.7802462948345
2020-11-01,499.569433030577,1.2,70.6,15.7643217767363
2020-11-02,501.551106425621,1.16,73.6,15.7372131870269
2020-11-03,497.981114354549,1.12,76.5,15.5942053870043
2020-11-04,487.822430739956,1.07,80.7,15.3746166348203
2020-11-05,474.043095734418,1.03,83.5,14.9974804172561
2020-11-06,453.827047144979,0.98,85.4,14.5079847597237
2020-11-07,441.387204156091,0.94,87.2,14.2564198814199
2020-11-08,437.535605865723,0.89,89.5,14.2033848953242
2020-11-09,404.104924689334,0.84,92.5,13.4709124846399
2020-11-10,371.757458970235,0.8,93.6,12.6379317767968
2020-11-11,305.071914257015,0.76,94.7,12.1207044546396
2020-11-12,289.559732515811,0.72,96.6,11.6069738120707
2020-11-13,265.62171389568,0.69,96.6,11.0668835280533
2020-11-14,255.269332881571,0.67,96,10.8276390331951
2020-11-15,252.766166487832,0.65,96.5,10.77551518185
2020-11-16,227.034211952187,0.63,96.9,10.2085129674927
2020-11-17,203.783074110339,0.63,95.7,9.73706805104861
2020-11-18,221.631544485699,0.62,94.1,9.56157576887352
2020-11-19,192.268508699136,0.62,91.7,8.96300427795378
2020-11-20,173.348742706455,0.61,90.3,8.42201045883355
2020-11-21,167.789627340358,0.61,88.8,8.19593027360282
2020-11-22,166.491854763604,0.61,88.8,8.1432778476986
2020-11-23,147.700227050602,0.61,87.7,7.54980384630324
2020-11-24,135.682048400659,0.61,84.6,7.17489672538921
2020-11-25,128.632953038289,0.62,81.8,6.90750494667671
2020-11-26,122.229019014305,0.62,79.2,6.70518095667796
2020-11-27,116.58944472841,0.63,76.5,6.5237128529207
2020-11-28,114.828288372814,0.65,74.4,6.44986077901818
2020-11-29,114.487082953668,0.67,74,6.43594169977276
2020-11-30,111.671020760711,0.69,73.9,6.40150052784962
2020-12-01,109.65209786576,0.72,71.1,6.3698021884429
2020-12-02,107.990770169915,0.74,68.8,6.34994340264028
2020-12-03,107.238330271797,0.77,67.5,6.34244608881169
2020-12-04,107.394778171406,0.81,64.9,6.3417960415466
2020-12-05,108.123378389583,0.84,63.7,6.34728066776468
2020-12-06,108.345385409028,0.87,63.5,6.34682894215444
2020-12-07,109.605908485876,0.9,63,6.35751676408083
2020-12-08,110.860471642738,0.93,60.9,6.29781298193878
2020-12-09,112.684207158177,0.96,59.9,6.26629690421998
2020-12-10,114.995166132397,0.99,58.3,6.25130102129666
2020-12-11,117.252485826752,1.01,56.8,6.18527368189392
2020-12-12,119.149230362008,1.04,56.4,6.14686776243928
