date,casesCumul,deathsCumul,hospi,hospiNew,icu,icuNew,returnHomeCumul,deathsHospiCumul,casesEhpadEmsCumul,deathsEhpadEmsCumul
2020-03-02,191,,,,,,,3,,
2020-03-03,212,,,,,,12,4,,
2020-03-04,285,,,,15,,,4,,
2020-03-05,423,,,,23,,,7,,
2020-03-06,613,,,,39,,,9,,
2020-03-07,949,,,,45,,,16,,
2020-03-08,1126,,,,,,,19,,
2020-03-09,1412,,,,66,,,25,,
2020-03-10,1784,,,,86,,,33,,
2020-03-11,2281,,,,105,,,48,,
2020-03-12,2876,,,,129,,,61,,
2020-03-13,3661,,,,,,,79,,
2020-03-14,4500,,,,300,,,91,,
2020-03-15,5423,,400,,,,,127,,
2020-03-16,6633,,,,,,,148,,
2020-03-17,7730,,2579,,699,,602,175,,
2020-03-18,9134,,3626,,931,,1000,264,,
2020-03-19,10995,,4461,2229,1122,438,1300,372,,
2020-03-20,12612,,5226,1256,1297,242,1587,450,,
2020-03-21,14459,,6172,1540,1525,298,1811,562,,
2020-03-22,16689,,7240,1534,1746,309,2200,674,,
2020-03-23,19856,,8675,2053,2082,448,2567,860,,
2020-03-24,22302,,10176,2618,2516,571,3281,1100,,
2020-03-25,25233,,11539,3166,2827,607,3900,1331,,
2020-03-26,29155,,13904,3097,3375,612,4948,1696,,
2020-03-27,32964,,15732,3059,3787,608,5698,1995,,
2020-03-28,37575,,17620,3353,4273,695,6624,2314,,
2020-03-29,40174,,19354,2685,4632,543,7131,2606,,
2020-03-30,44550,,21008,3108,5107,694,7924,3024,,
2020-03-31,52128,,22757,4146,5565,767,9444,3523,,
2020-04-01,56989,4403,24639,4281,6017,771,10935,4032,,371
2020-04-02,59105,5387,26246,3845,6399,728,12428,4503,,884
2020-04-03,64338,6507,27432,3627,6662,640,14008,5091,,1416
2020-04-04,68605,7560,28143,2822,6838,502,15438,5532,,2028
2020-04-05,70478,8078,28891,1931,6978,390,16183,5889,,2189
2020-04-06,74390,8911,29722,2754,7072,478,17250,6494,,2417
2020-04-07,78167,10328,30027,3277,7131,518,19337,7091,,3237
2020-04-08,82048,10869,30375,3139,7148,482,21254,7632,,3237
2020-04-09,86334,12210,30767,2990,7066,369,23206,8044,,4166
2020-04-10,90676,13197,31267,3161,7004,431,24932,8598,,4599
2020-04-11,93790,13832,31320,2044,6883,255,26391,8943,,4889
2020-04-12,95403,14393,31826,1688,6845,220,27186,9253,11958,5140
2020-04-13,98076,14967,32113,1257,6821,227,27718,9588,12481,5379
2020-04-14,103573,15729,32292,1965,6730,275,28805,10129,13050,5600
2020-04-15,106206,17167,31779,2415,6457,284,30995,10643,14393,6524
2020-04-16,108847,17920,31305,2084,6248,270,32812,11060,18967,6860
2020-04-17,109252,18681,31190,2166,6027,242,34420,11478,20272,7203
2020-04-18,111821,19323,30639,1565,5833,206,35983,11842,22163,7481
2020-04-19,112606,19718,30610,890,5744,137,36578,12069,23048,7649
2020-04-20,114657,20265,30584,1464,5683,208,37409,12513,23668,7752
2020-04-21,117324,20796,30106,1885,5433,190,39181,12900,,7896
2020-04-22,119151,21340,29741,1619,5218,183,40657,13236,25513,8104
2020-04-23,120804,21856,29219,1410,5053,178,42088,13547,26840,8309
2020-04-24,122577,22245,28658,1346,4870,155,43493,13852,27880,8393
2020-04-25,124114,22614,28222,999,4725,124,44594,14050,29126,8564
2020-04-26,124575,22856,28217,481,4682,79,44903,14202,29643,8654
2020-04-27,128339,23293,28055,964,4608,125,45513,14497,30227,8796
2020-04-28,129859,23660,27484,1321,4387,153,46886,14810,30817,8850
2020-04-29,128442,24087,26834,1070,4207,110,48228,15053,31795,9034
2020-04-30,129581,24376,26283,1048,4019,121,49476,15244,32355,9132
2020-05-01,130185,24594,25887,668,3878,73,50212,15369,32791,9225
2020-05-02,130979,24760,25827,453,3827,64,50562,15487,33271,9273
2020-05-03,131287,24895,25815,345,3819,80,50784,15583,33361,9312
2020-05-04,131863,25201,25548,689,3696,84,51371,15826,33791,9375
2020-05-05,132967,25531,24775,987,3430,111,52736,16060,34108,9471
2020-05-06,137150,25809,23983,833,3147,69,53972,16237,34507,9572
2020-05-07,137779,25987,23208,728,2961,99,55027,16386,34653,9601
2020-05-08,138421,26230,22724,510,2868,89,55782,16497,34890,9733
2020-05-09,138854,26310,22614,265,2812,38,56038,16573,35046,9737
2020-05-10,139063,26380,22569,253,2776,38,56217,16642,35236,9738
2020-05-11,139519,26643,22284,523,2712,82,56724,16820,35195,9823
2020-05-12,140227,26991,21595,670,2542,92,57785,17003,35437,9988
2020-05-13,140734,27074,21071,543,2428,69,58673,17101,35604,9973
2020-05-14,141356,27425,20463,542,2299,52,59605,17224,35820,10201
2020-05-15,141919,27529,19861,438,2203,64,60448,17342,36126,10187
2020-05-16,142291,27625,19432,350,2132,46,61066,17412,36175,10213
2020-05-17,142411,28108,19361,152,2087,24,61213,17466,36461,10642
2020-05-18,142903,28239,19015,375,1998,38,61728,17589,36599,10650
2020-05-19,143427,28022,18468,506,1894,69,62563,17714,36530,10308
2020-05-20,143845,28132,17941,432,1794,43,63354,17812,36751,10320
2020-05-21,144163,28215,17583,271,1745,28,63858,17870,36853,10345
2020-05-22,144556,28289,17383,263,1701,36,64209,17944,36853,10345
2020-05-23,144806,28332,17178,233,1665,30,64547,17987,36853,10345
2020-05-24,144921,28367,17185,121,1655,24,64617,18022,36853,10345
2020-05-25,145279,28457,16798,342,1609,45,65199,18112,36853,10345
2020-05-26,145555,28595,16264,318,1555,37,65879,18260,37235,10335
2020-05-27,145746,28596,15680,271,1501,32,66584,18260,37235,10336
2020-05-28,149071,28662,15208,253,1429,36,67191,18326,37235,10336
2020-05-29,149668,28714,14695,255,1361,29,67803,18387,37273,10327
2020-05-30,151496,28771,14380,227,1325,29,68268,18444,37273,10327
2020-05-31,151753,28802,14322,72,1319,18,68355,18475,37273,10327
2020-06-01,152091,28833,14288,89,1302,9,68440,18506,37273,10327
2020-06-02,151325,28940,14028,229,1253,33,68812,18590,37405,10350
2020-06-03,151677,29021,13514,250,1210,26,69455,18671,37405,10350
2020-06-04,152444,29065,13101,195,1163,23,69976,18715,37405,10350
2020-06-05,153055,29111,12696,213,1094,19,70504,18761,37405,10350
2020-06-06,153634,29142,12479,143,1059,15,70806,18792,37405,10350
2020-06-07,153977,29155,12461,37,1053,4,70842,18805,37405,10350
2020-06-08,154188,29209,12315,145,1024,23,71062,18859,37405,10350
2020-06-09,154591,29296,11961,169,955,15,71506,18912,37599,10384
2020-06-10,155136,29319,11678,130,933,23,71832,18935,37599,10384
2020-06-11,155561,29346,11465,143,903,26,72149,18962,37599,10384
2020-06-12,156287,29374,11124,136,879,18,72572,18990,37599,10384
2020-06-13,156813,29398,10909,68,871,14,72808,19014,37599,10384
2020-06-14,157220,29407,10881,33,869,6,72859,19023,37599,10384
2020-06-15,157372,29436,10752,114,846,12,73044,19052,37599,10384
2020-06-16,157716,29547,10535,143,820,14,73335,19090,37901,10457
2020-06-17,158174,29575,10267,116,772,14,73667,19118,37901,10457
2020-06-18,158641,29603,10125,136,752,15,73887,19146,37901,10457
2020-06-19,159452,29617,9970,116,727,10,74117,19160,37901,10457
2020-06-20,160093,29633,9837,90,715,7,74312,19176,37901,10457
2020-06-21,160377,29640,9823,48,715,5,74372,19183,37901,10457
2020-06-22,160750,29663,9693,142,701,16,74612,19206,37901,10457
2020-06-23,161267,29720,9491,117,682,15,74871,19232,37995,10488
2020-06-24,161348,29731,9299,97,658,8,75127,19243,37995,10488
2020-06-25,161348,29752,9141,124,651,15,75351,19264,37995,10488
2020-06-26,162936,29778,8886,87,634,15,75649,19290,37995,10488
2020-06-27,163454,29778,8886,55,634,9,75649,19290,37995,10488
2020-06-28,163980,29778,8886,44,634,4,75649,19290,37995,10488
2020-06-29,164260,29813,8688,102,619,15,75999,19325,37995,10488
2020-06-30,164801,29843,8536,152,602,8,76274,19346,38107,10497
2020-07-01,165719,29861,8336,106,582,17,76549,19364,38107,10497
2020-07-02,166378,29875,8148,93,573,12,76802,19378,38107,10497
2020-07-03,166960,29893,7990,125,560,12,77060,19396,38107,10497
2020-07-04,167711,29885,7863,47,517,4,77160,19388,38107,10497
2020-07-05,168159,29887,7863,21,521,5,77179,19390,38107,10497
